Suggested_job_role,course_1,course_2,course_3,course_4,course_5
Software Engineer / Programmer,Advance Database,Digital Design,Information Assurance and Security,Digital Design,Advance Database
Technical Support Specialist,Advance Database,Architecture and Organization,Advance Database,Architecture and Organization,Advance Database
Technical Support Specialist,Advance Database,Advance Database,Digital Design,Software Engineering 1,Modelling and Simulation
Technical Support Specialist,Architecture and Organization,Programming Languages,Programming Languages,Software Engineering 1,Information Assurance and Security
Administrative Assistant,Modelling and Simulation,Software Engineering 1,Programming Languages,Modelling and Simulation,Network Management
Software Engineer / Programmer,Architecture and Organization,Digital Design,Network Management,Digital Design,Advance Database
Software Engineer / Programmer,Information Assurance and Security,Advance Database,Software Engineering 1,Programming Languages,Network Management
Technical Support Specialist,Software Engineering 1,Modelling and Simulation,Modelling and Simulation,Modelling and Simulation,Digital Design
Academician,Modelling and Simulation,Architecture and Organization,Information Assurance and Security,Information Assurance and Security,Programming Languages
Software Engineer / Programmer,Software Engineering 1,Network Management,Advance Database,Modelling and Simulation,Digital Design
Administrative Assistant,Modelling and Simulation,Architecture and Organization,Modelling and Simulation,Architecture and Organization,Modelling and Simulation
Technical Support Specialist,Network Management,Advance Database,Network Management,Programming Languages,Architecture and Organization
